score,run,niche,niche_source,niche_confidence,company,domain,segment,revenue_eur,employees,y_tunnus,google_ads,conv_tracking,meta_pixel,quality_issues,issue_flags,platform,email,phone,city,google_verified_live,google_advertiser_name,ads_status,advertiser_reconciliation,advertiser_match_score
48,resultsd,cleaning,keywords,0.5,Kotisiivous Turku &amp; Tampere - Freesikoti Oy,freesikoti.fi,C_ads_ok_site,,,,True,True,True,1,slow_response,,,,,True,Freesikoti Oy,LIVE_CONFIRMED,match,1.00
48,resultsd,cleaning,keywords,0.5,IloClean Oy – Siivouspalvelu Pori - Porilainen siivousfirma,iloclean.fi,C_ads_ok_site,,,,True,True,True,1,slow_response,wordpress,,,,True,IloClean Oy,LIVE_CONFIRMED,match,1.00
48,resultsd,cleaning,keywords,0.5,Kotisiivous ja siivouspalvelut Oulu | Helpmax,helpmax.fi,C_ads_ok_site,,,,True,True,True,1,slow_response,wordpress,,,,True,CURU Oy,ADVERTISER_MISMATCH,mismatch,0.10
48,resultsd,,none,0.0,Isännöintipiste – Laadukas isännöintitoimisto Vantaalla,isannointipiste.fi,C_ads_ok_site,,,,True,True,True,1,slow_response,wordpress,,,,True,Ainoa & Co Oy,ADVERTISER_MISMATCH,mismatch,0.26
48,resultsd,,none,0.0,Etusivu - Kaukokiito,kaukokiito.fi,C_ads_ok_site,,,,True,True,True,1,slow_response,wordpress,,,,True,Suomen Kaukokiito Oy,LIVE_CONFIRMED,match,0.90
48,resultsd,cleaning,keywords,0.5,Siivouspalvelut kotiin – Onni kotisiivous,kotisiivooja.com,C_ads_ok_site,,,,True,True,True,1,slow_response,,,,,True,Puhdas Unelma Oy,ADVERTISER_MISMATCH,mismatch,0.28
48,resultsd,,none,0.0,Alueellinen ykkönen - kaikki kiviainekset ja kuljetukset,laaninkuljetus.fi,C_ads_ok_site,,,,True,True,True,1,slow_response,wordpress,,,,True,Läänin Kuljetus Oy,ADVERTISER_MISMATCH,mismatch,0.33
48,resultsd,cleaning,keywords,0.5,"Onnellisempi arki, koti kerrallaan | Koti Puhtaaksi 🧡",kotipuhtaaksi.fi,C_ads_ok_site,,,,True,True,True,1,slow_response,wordpress,,,,True,Sahera Koti Puhtaaksi Oy,LIVE_CONFIRMED,match,0.90
48,resultsd,plumbing,keywords,0.5,Henkilökunta valmiina palvelukseen | Lahden Putkihuolto Oy,lph.fi,C_ads_ok_site,,,,True,True,True,1,slow_response,wordpress,,,,True,Keskisuomalainen Oyj,ADVERTISER_MISMATCH,mismatch,0.24
48,resultsd,cleaning,keywords,0.5,Alan paras mitattu asiakastyytyväisyys,lempi.fi,C_ads_ok_site,,,,True,True,True,1,slow_response,,,,,True,Lempi Kodinhoito Oy,ADVERTISER_MISMATCH,mismatch,0.19
48,resultsd,,none,0.0,Maritim venetarvikkeet veneilyyn ja purjehdukseen,maritim.fi,C_ads_ok_site,,,,True,True,True,1,slow_response,wordpress,,,,True,Oy Maritim Ab,LIVE_CONFIRMED,match,0.90
48,resultsd,cleaning,keywords,0.5,"Pohjanmaan Siivous | Siivouspalvelu Vaasa, Oulu, Seinäjoki",pohjanmaansiivous.fi,C_ads_ok_site,,,,True,True,True,1,slow_response,wordpress,,,,True,Pohjanmaan Siivous Oy,LIVE_CONFIRMED,match,1.00
48,resultsd,hvac,keywords,0.5,Ilmanvaihtoremontit ja kattoremontit asiantuntevasti | Raken,rakennecenter.fi,C_ads_ok_site,,,,True,True,True,1,slow_response,,,,,True,Riku Latvala,ADVERTISER_MISMATCH,mismatch,0.25
48,resultsd,,none,0.0,Raymarine | UK | Reliable Marine and Boat Electronics,raymarine.com,C_ads_ok_site,,,,True,True,True,1,slow_response,,,,,True,"Flir Systems, Inc.",ADVERTISER_MISMATCH,mismatch,0.32
48,resultsd,plumbing,keywords,0.5,Retta Isännöinti: Yhdessä askeleen edellä,retta.fi,C_ads_ok_site,,,,True,True,True,1,slow_response,wordpress,,,,True,Retta Services Oy,ADVERTISER_MISMATCH,mismatch,0.31
48,resultsd,accounting,keywords,0.65,Mutkatonta tilitoimistopalvelua ja isännöintiä - Taloustaita,taloustaitaja.fi,C_ads_ok_site,,,,True,True,True,1,slow_response,wordpress,,,,True,Tirri Tomi,ADVERTISER_MISMATCH,mismatch,0.29
